Date,EWA,EWZ,EWC,FXI,EWQ,EWG,EWH,EWI,EWJ,EWY,EWN,EWS,EZA,EWP,EWD,EWL,EWT,EWU,IVV
2017-09-05,19.784404754638672,37.7707405090332,26.013689041137695,40.254756927490234,27.827667236328125,28.874378204345703,22.230112075805664,27.40335464477539,51.558937072753906,62.56290817260742,28.64337158203125,21.750219345092773,51.880104064941406,30.06281852722168,31.19386863708496,32.1421012878418,34.390899658203125,29.85450553894043,232.8925323486328
2017-09-06,19.854190826416016,38.609474182128906,26.31216049194336,40.420753479003906,28.11920166015625,29.34357452392578,22.320478439331055,27.738868713378906,51.777523040771484,62.7691650390625,28.85979652404785,21.750219345092773,51.755516052246094,30.126264572143555,31.23897361755371,32.23616409301758,34.381710052490234,29.969600677490234,233.67266845703125
2017-09-07,19.967592239379883,38.9044075012207,26.47072410583496,40.54985809326172,28.363718032836914,29.681394577026367,22.248188018798828,27.82048225402832,52.08164978027344,63.58484649658203,29.151498794555664,21.874052047729492,52.12929153442383,30.289398193359375,31.60882568359375,32.537174224853516,34.473609924316406,30.235214233398438,233.67266845703125
2017-09-08,19.89780616760254,38.63712692260742,26.37745475769043,40.38386154174805,28.363718032836914,29.643861770629883,22.33855438232422,27.793277740478516,52.243221282958984,63.144187927246094,29.14208984375,21.794445037841797,51.22392272949219,30.24407958984375,31.500572204589844,32.612422943115234,34.409278869628906,30.314899444580078,233.27789306640625
2017-09-11,20.07227325439453,39.21778869628906,26.563997268676758,41.06629943847656,28.598825454711914,29.972299575805664,22.627723693847656,28.11972427368164,52.48081970214844,64.18487548828125,29.358516693115234,21.794445037841797,51.473106384277344,30.7425594329834,31.662948608398438,32.79115295410156,34.639041900634766,30.509674072265625,235.82505798339844
2017-09-12,20.203121185302734,39.051883697509766,26.582653045654297,40.937191009521484,28.749296188354492,30.047372817993164,22.5102481842041,28.219470977783203,52.518829345703125,64.04424285888672,29.433794021606445,21.750219345092773,51.36512756347656,30.73349952697754,31.897497177124023,32.87581253051758,34.52875518798828,30.660184860229492,236.6709747314453
2017-09-13,20.037378311157227,39.07953643798828,26.57332420349121,40.65130615234375,28.57061004638672,29.915996551513672,22.43795394897461,28.00183868408203,52.41429138183594,63.6879768371582,29.30205726623535,21.608699798583984,50.70063400268555,30.624744415283203,31.653926849365234,32.659461975097656,34.04166030883789,30.4211368560791,236.77435302734375
2017-09-14,20.037378311157227,39.31917190551758,26.675926208496094,40.58674240112305,28.7022762298584,29.9816837310791,22.365663528442383,28.101585388183594,52.42379379272461,64.04424285888672,29.377334594726562,21.555625915527344,50.551124572753906,30.633804321289062,31.888465881347656,32.697086334228516,34.12437438964844,30.553945541381836,236.68978881835938
2017-09-15,19.976316452026367,39.955135345458984,26.666597366333008,40.89107894897461,28.721084594726562,30.047372817993164,22.465065002441406,28.174131393432617,52.49983215332031,64.43801879882812,29.42438316345215,21.582162857055664,50.393306732177734,30.615676879882812,31.942588806152344,32.734710693359375,34.3541374206543,30.5716495513916,236.99053955078125
2017-09-18,19.915254592895508,39.75236892700195,26.57332420349121,41.333744049072266,28.768104553222656,30.122440338134766,22.645793914794922,28.346424102783203,52.50932693481445,65.47869110107422,29.53730010986328,21.679458618164062,49.84510040283203,30.697246551513672,31.97867202758789,32.72530746459961,34.390899658203125,30.58050537109375,237.52630615234375
