Date,VTI,VGK,VPL,VWO,PFF,IEI,BWX,AGG,BND,FXY,FXF,UDN,IAU,AOA,AOK,USO
2014-01-02,95.76000213623047,57.880001068115234,60.95000076293945,40.529998779296875,37.130001068115234,120.16999816894531,28.75,106.56999969482422,80.18000030517578,93.43000030517578,108.91999816894531,26.920000076293945,11.9399995803833,44.41999816894531,31.920000076293945,277.6000061035156
2014-01-03,95.44000244140625,57.79999923706055,60.599998474121094,39.93000030517578,37.34000015258789,120.2699966430664,28.719999313354492,106.62999725341797,80.20999908447266,93.66000366210938,108.47000122070312,26.860000610351562,12.029999732971191,44.290000915527344,31.940000534057617,273.0400085449219
2014-01-06,95.55999755859375,57.81999969482422,60.470001220703125,39.560001373291016,37.52000045776367,120.33999633789062,28.825000762939453,106.68000030517578,80.26000213623047,94.01000213623047,108.56999969482422,26.90999984741211,12.109999656677246,44.290000915527344,31.93000030517578,269.760009765625
2014-01-07,95.58999633789062,58.09000015258789,60.459999084472656,39.63999938964844,37.59000015258789,120.38999938964844,28.889999389648438,106.77999877929688,80.30000305175781,93.62000274658203,108.0,26.850000381469727,11.960000038146973,44.349998474121094,31.979999542236328,269.8399963378906
2014-01-08,95.62000274658203,58.09000015258789,60.5099983215332,39.560001373291016,37.47999954223633,120.13999938964844,28.770000457763672,106.62000274658203,80.16000366210938,93.27999877929688,107.83000183105469,26.780000686645508,11.920000076293945,44.36000061035156,31.969999313354492,268.3999938964844
2014-01-09,95.83000183105469,58.06999969482422,60.41999816894531,39.2599983215332,37.63999938964844,120.05999755859375,28.7549991607666,106.58000183105469,80.22000122070312,93.4000015258789,108.02999877929688,26.780000686645508,11.9399995803833,44.400001525878906,31.989999771118164,265.6000061035156
2014-01-10,95.87000274658203,58.619998931884766,60.68000030517578,40.0099983215332,37.86000061035156,120.70999908447266,28.954999923706055,107.0999984741211,80.58000183105469,94.06999969482422,108.66999816894531,26.90999984741211,12.109999656677246,44.56999969482422,32.09000015258789,266.3999938964844
2014-01-13,95.87999725341797,58.459999084472656,60.54999923706055,39.970001220703125,37.900001525878906,120.88999938964844,29.020000457763672,107.30999755859375,80.76000213623047,94.97000122070312,108.91999816894531,26.940000534057617,12.180000305175781,44.52000045776367,32.09000015258789,264.4800109863281
2014-01-14,95.7300033569336,58.81999969482422,60.220001220703125,39.900001525878906,37.91999816894531,120.76000213623047,29.079999923706055,107.25,80.70999908447266,94.30999755859375,108.75,26.940000534057617,12.180000305175781,44.5,32.06999969482422,265.9200134277344
2014-01-15,96.29000091552734,59.099998474121094,60.380001068115234,39.90999984741211,37.91999816894531,120.45999908447266,28.885000228881836,106.9800033569336,80.56999969482422,93.58999633789062,107.8499984741211,26.770000457763672,12.050000190734863,44.880001068115234,32.119998931884766,270.79998779296875
2014-01-16,96.12000274658203,59.06999969482422,60.220001220703125,39.86000061035156,37.95000076293945,120.6500015258789,28.8799991607666,107.20999908447266,80.69999694824219,93.77999877929688,108.41000366210938,26.84000015258789,12.069999694824219,44.63999938964844,32.130001068115234,269.67999267578125
2014-01-17,96.12999725341797,59.0,60.41999816894531,39.599998474121094,38.099998474121094,120.72000122070312,28.844999313354492,107.30000305175781,80.79000091552734,93.72000122070312,107.93000030517578,26.760000228881836,12.170000076293945,44.630001068115234,32.18000030517578,270.8800048828125
2014-01-21,96.36000061035156,59.20000076293945,60.560001373291016,39.630001068115234,38.06999969482422,120.68000030517578,28.834999084472656,107.33999633789062,80.8499984741211,93.88999938964844,107.77999877929688,26.75,12.069999694824219,44.72999954223633,32.18000030517578,272.32000732421875
2014-01-22,96.30000305175781,59.150001525878906,60.47999954223633,39.849998474121094,38.04999923706055,120.45999908447266,28.825000762939453,107.23999786376953,80.73999786376953,93.69999694824219,107.62999725341797,26.75,12.050000190734863,44.720001220703125,32.15999984741211,276.7200012207031
2014-01-23,95.8499984741211,59.189998626708984,59.75,39.45000076293945,38.04999923706055,120.9800033569336,29.09000015258789,107.5199966430664,80.98999786376953,94.83000183105469,109.20999908447266,26.959999084472656,12.279999732971191,44.54999923706055,32.119998931884766,279.3599853515625
2014-01-24,94.88999938964844,58.11000061035156,58.70000076293945,38.41999816894531,37.970001220703125,121.22000122070312,29.075000762939453,107.6500015258789,81.11000061035156,95.6500015258789,109.56999969482422,26.979999542236328,12.319999694824219,44.02000045776367,32.0099983215332,278.32000732421875
2014-01-27,93.5999984741211,57.279998779296875,58.130001068115234,38.0099983215332,37.939998626708984,121.1500015258789,29.075000762939453,107.63999938964844,81.12000274658203,95.55000305175781,109.4000015258789,26.969999313354492,12.279999732971191,43.59000015258789,31.84000015258789,276.9599914550781
2014-01-28,93.47000122070312,57.54999923706055,58.18000030517578,38.11000061035156,37.91999816894531,121.11000061035156,29.06999969482422,107.55999755859375,81.04000091552734,95.16999816894531,109.18000030517578,26.940000534057617,12.220000267028809,43.58000183105469,31.860000610351562,278.79998779296875
2014-01-29,93.08000183105469,57.029998779296875,58.04999923706055,37.779998779296875,37.90999984741211,121.45999908447266,29.139999389648438,107.91999816894531,81.23999786376953,95.88999938964844,109.58000183105469,26.950000762939453,12.329999923706055,43.439998626708984,31.829999923706055,279.0400085449219
2014-01-30,93.77999877929688,57.02000045776367,58.31999969482422,37.95000076293945,38.060001373291016,121.33999633789062,29.020000457763672,107.87999725341797,81.18000030517578,95.2300033569336,108.61000061035156,26.799999237060547,12.100000381469727,43.599998474121094,31.8799991607666,281.44000244140625
