Date,VTI,VGK,VPL,VWO,PFF,IEI,BWX,AGG,BND,FXY,FXF,UDN,IAU,AOA,AOK,USO
2014-01-02,94.81999969482422,57.400001525878906,60.209999084472656,39.63999938964844,36.849998474121094,120.01000213623047,28.674999237060547,106.43000030517578,80.05000305175781,93.01000213623047,108.58000183105469,26.8799991607666,11.84000015258789,44.06999969482422,31.850000381469727,273.1199951171875
2014-01-03,94.94999694824219,57.540000915527344,60.2599983215332,39.470001220703125,37.099998474121094,120.04000091552734,28.6200008392334,106.38999938964844,80.05999755859375,93.19999694824219,108.13999938964844,26.780000686645508,11.930000305175781,44.11000061035156,31.860000610351562,268.79998779296875
2014-01-06,94.66999816894531,57.61000061035156,59.9900016784668,39.27000045776367,37.31999969482422,120.13999938964844,28.690000534057617,106.52999877929688,80.1500015258789,93.16999816894531,108.12999725341797,26.790000915527344,11.770000457763672,44.04999923706055,31.8799991607666,266.8800048828125
2014-01-07,95.0999984741211,57.88999938964844,60.13999938964844,39.349998474121094,37.400001525878906,120.26000213623047,28.719999313354492,106.66999816894531,80.22000122070312,93.27999877929688,107.68000030517578,26.780000686645508,11.880000114440918,44.20000076293945,31.93000030517578,267.6000061035156
2014-01-08,95.08999633789062,57.83000183105469,60.25,39.22999954223633,37.34000015258789,119.88999938964844,28.610000610351562,106.4000015258789,80.04000091552734,93.0,107.41000366210938,26.700000762939453,11.819999694824219,44.2400016784668,31.90999984741211,264.239990234375
2014-01-09,95.0999984741211,57.599998474121094,59.95000076293945,38.810001373291016,37.459999084472656,119.86000061035156,28.625,106.41999816894531,80.08000183105469,93.08000183105469,107.5999984741211,26.729999542236328,11.859999656677246,44.16999816894531,31.899999618530273,261.44000244140625
2014-01-10,95.30000305175781,58.2599983215332,60.18000030517578,39.349998474121094,37.65999984741211,120.44000244140625,28.780000686645508,106.83999633789062,80.43000030517578,93.38999938964844,108.19999694824219,26.81999969482422,12.029999732971191,44.349998474121094,31.989999771118164,263.44000244140625
2014-01-13,94.38999938964844,58.0,60.029998779296875,39.2599983215332,37.72999954223633,120.75,28.93000030517578,107.13999938964844,80.5999984741211,94.48999786376953,108.44999694824219,26.8799991607666,12.09000015258789,44.029998779296875,31.950000762939453,261.760009765625
2014-01-14,94.7300033569336,58.279998779296875,59.75,39.41999816894531,37.7400016784668,120.5199966430664,28.905000686645508,106.9800033569336,80.55999755859375,93.69000244140625,108.47000122070312,26.899999618530273,12.039999961853027,44.16999816894531,32.0,263.3599853515625
2014-01-15,95.83999633789062,58.70000076293945,60.0099983215332,39.72999954223633,37.7599983215332,120.30000305175781,28.729999542236328,106.81999969482422,80.44999694824219,93.29000091552734,107.62999725341797,26.719999313354492,11.979999542236328,44.56999969482422,32.060001373291016,266.0799865722656
2014-01-16,95.79000091552734,58.72999954223633,59.970001220703125,39.5099983215332,37.779998779296875,120.55000305175781,28.774999618530273,107.06999969482422,80.62999725341797,93.51000213623047,107.94000244140625,26.75,12.020000457763672,44.529998779296875,32.060001373291016,267.760009765625
2014-01-17,95.55000305175781,58.65999984741211,60.150001525878906,39.36000061035156,37.88999938964844,120.55999755859375,28.739999771118164,107.0999984741211,80.63999938964844,93.56999969482422,107.41999816894531,26.670000076293945,12.09000015258789,44.45000076293945,32.06999969482422,268.79998779296875
2014-01-21,95.44000244140625,58.81999969482422,60.09000015258789,39.13999938964844,37.90999984741211,120.56999969482422,28.760000228881836,107.16999816894531,80.7300033569336,93.47000122070312,107.30999755859375,26.68000030517578,12.0,44.43000030517578,32.06999969482422,269.9200134277344
2014-01-22,95.91000366210938,58.93000030517578,60.209999084472656,39.4900016784668,37.95000076293945,120.30999755859375,28.7450008392334,107.0199966430664,80.63999938964844,93.44999694824219,107.4000015258789,26.690000534057617,11.989999771118164,44.560001373291016,32.09000015258789,273.3599853515625
2014-01-23,94.91000366210938,58.79999923706055,58.95000076293945,38.630001068115234,37.869998931884766,120.62999725341797,28.899999618530273,107.26000213623047,80.77999877929688,94.12000274658203,108.56999969482422,26.8700008392334,12.15999984741211,44.22999954223633,32.029998779296875,276.55999755859375
2014-01-24,93.29000091552734,57.189998626708984,58.060001373291016,37.90999984741211,37.790000915527344,120.97000122070312,28.9950008392334,107.45999908447266,80.98999786376953,95.2699966430664,109.26000213623047,26.93000030517578,12.229999542236328,43.52000045776367,31.799999237060547,274.8800048828125
2014-01-27,92.20999908447266,56.66999816894531,57.36000061035156,37.400001525878906,37.7400016784668,120.91999816894531,28.9950008392334,107.33999633789062,80.91000366210938,95.01000213623047,109.11000061035156,26.93000030517578,12.140000343322754,43.099998474121094,31.700000762939453,272.0
2014-01-28,92.80000305175781,57.22999954223633,57.79999923706055,37.83000183105469,37.7599983215332,120.91999816894531,28.979999542236328,107.38999938964844,80.91999816894531,94.80999755859375,108.93000030517578,26.889999389648438,12.119999885559082,43.380001068115234,31.739999771118164,276.7200012207031
2014-01-29,92.18000030517578,56.529998779296875,57.630001068115234,37.189998626708984,37.79999923706055,121.16000366210938,29.0,107.68000030517578,81.05000305175781,95.45999908447266,109.2699966430664,26.899999618530273,12.180000305175781,43.119998931884766,31.75,275.20001220703125
2014-01-30,92.95999908447266,56.630001068115234,57.939998626708984,37.56999969482422,37.869998931884766,121.13999938964844,28.885000228881836,107.70999908447266,81.05000305175781,94.91000366210938,108.25,26.709999084472656,12.029999732971191,43.36000061035156,31.790000915527344,279.5199890136719
