Date,EWA,EWZ,EWC,FXI,EWQ,EWG,EWH,EWI,EWJ,EWY,EWN,EWS,EZA,EWP,EWD,EWL,EWT,EWU,IVV
2017-11-15,20.081443786621094,35.45909118652344,27.22930908203125,42.63557434082031,28.967336654663086,30.92386817932129,23.451013565063477,27.89624786376953,55.63698959350586,70.12895965576172,29.479511260986328,22.91079330444336,49.79401397705078,29.9016056060791,31.120304107666016,32.53624725341797,34.216278076171875,30.77821159362793,244.9224090576172
2017-11-16,20.214256286621094,36.61557388305664,27.342370986938477,43.43528366088867,29.203998565673828,31.17042350769043,23.57996940612793,27.951234817504883,56.49913024902344,71.88218688964844,29.659378051757812,22.892898559570312,51.180702209472656,30.11205291748047,31.50037384033203,32.70834732055664,34.620662689208984,30.9310245513916,246.97146606445312
2017-11-17,20.03717041015625,37.14717483520508,27.370635986328125,43.230712890625,29.080930709838867,31.018695831298828,23.423383712768555,27.81376838684082,56.22132873535156,71.46028900146484,29.479511260986328,23.053930282592773,52.78723907470703,29.938207626342773,31.038860321044922,32.88044738769531,34.71256637573242,30.957988739013672,246.2979278564453
2017-11-20,20.081443786621094,37.48292541503906,27.361215591430664,43.677059173583984,29.052536010742188,31.037660598754883,23.55233383178711,27.77711296081543,56.49913024902344,71.56342315673828,29.507909774780273,23.152334213256836,53.150821685791016,29.709461212158203,30.894073486328125,33.10034942626953,34.648231506347656,31.01192283630371,246.6868896484375
2017-11-21,20.20540428161621,37.70676803588867,27.493122100830078,44.84872055053711,29.222930908203125,31.331634521484375,23.948406219482422,28.02454948425293,57.016422271728516,72.28533172607422,29.70671272277832,23.52806854248047,53.742698669433594,29.691160202026367,31.355587005615234,33.29157257080078,35.10776138305664,31.12877655029297,248.29014587402344
2017-11-22,20.3116512298584,38.10779571533203,27.690980911254883,44.93240737915039,29.35546112060547,31.123008728027344,23.966829299926758,28.207834243774414,57.05473709106445,72.57598114013672,29.735111236572266,23.635421752929688,53.6412353515625,29.947355270385742,31.355587005615234,33.44454574584961,35.218048095703125,31.36249542236328,248.10987854003906
2017-11-24,20.302799224853516,37.98655700683594,27.70982551574707,44.57905197143555,29.819316864013672,31.597158432006836,24.07735824584961,28.54691505432129,57.52412414550781,72.56659698486328,30.066448211669922,23.698040008544922,53.08317947387695,30.331647872924805,31.50037384033203,33.664451599121094,35.291568756103516,31.425413131713867,248.63160705566406
2017-11-27,20.214256286621094,37.855987548828125,27.474275588989258,43.863033294677734,29.639455795288086,31.407495498657227,23.948406219482422,28.235328674316406,57.27506637573242,70.79463195800781,29.877113342285156,23.59069061279297,53.34529495239258,30.2950496673584,31.337486267089844,33.38718032836914,34.583900451660156,31.24563217163086,248.55577087402344
2017-11-28,20.32935905456543,38.238372802734375,27.389480590820312,44.22569274902344,29.74358558654785,31.50232696533203,23.948406219482422,28.29947853088379,57.447486877441406,71.85405731201172,30.019113540649414,23.72488021850586,54.54597091674805,30.532941818237305,31.518470764160156,33.62620544433594,34.68499755859375,31.560251235961914,251.06016540527344
2017-11-29,20.214256286621094,36.98863220214844,27.191621780395508,43.36089324951172,29.68678855895996,31.416980743408203,23.773399353027344,28.2536563873291,57.33253860473633,71.36653137207031,29.70671272277832,23.52806854248047,54.44450378417969,30.77998924255371,31.201745986938477,33.38718032836914,34.28061294555664,31.488340377807617,250.8988800048828
2017-11-30,20.161130905151367,36.09328842163086,27.26699447631836,42.933143615722656,29.68678855895996,31.52129364013672,23.635234832763672,28.418617248535156,57.390010833740234,70.45710754394531,29.848712921142578,23.65331268310547,54.13164520263672,30.77998924255371,31.020761489868164,33.44454574584961,34.0968017578125,31.479351043701172,253.18508911132812
2017-12-01,20.231966018676758,36.40106201171875,27.672138214111328,42.59838104248047,29.50692367553711,31.24629020690918,23.55233383178711,28.281150817871094,57.13136672973633,70.3821029663086,29.687780380249023,23.689096450805664,53.69196701049805,30.54209327697754,30.88502311706543,33.58796691894531,34.00489807128906,31.39844512939453,252.5875244140625
2017-12-04,20.099151611328125,36.969974517822266,27.521387100219727,42.63557434082031,29.582656860351562,31.35059928894043,23.43259620666504,28.2628231048584,56.527870178222656,70.63523864746094,29.66884422302246,23.563852310180664,53.894901275634766,30.49634552001953,30.8759708404541,33.38718032836914,33.94975280761719,31.29956817626953,252.32188415527344
2017-12-05,20.06373405456543,36.88603591918945,27.44601058959961,42.663475036621094,29.4595947265625,31.217836380004883,23.331274032592773,28.290313720703125,56.67155838012695,70.87899780273438,29.64990997314453,23.635421752929688,54.1823844909668,30.359100341796875,30.939319610595703,33.186397552490234,33.80270767211914,31.24563217163086,251.3826904296875
2017-12-06,20.01060676574707,37.33370590209961,27.23872947692871,41.71498489379883,29.421728134155273,31.17042350769043,23.128633499145508,28.198673248291016,56.4608154296875,69.69767761230469,29.621511459350586,23.393877029418945,52.55048751831055,30.21270179748535,30.504953384399414,33.20552444458008,33.095035552978516,31.20069122314453,251.4396209716797
2017-12-07,20.001754760742188,36.419715881347656,27.361215591430664,41.6498908996582,29.52585792541504,31.31266975402832,23.101001739501953,28.363628387451172,56.8248291015625,69.64143371582031,29.744579315185547,23.375986099243164,51.6795768737793,30.432292938232422,30.405410766601562,33.12903594970703,33.12260818481445,31.281587600708008,252.1985626220703
2017-12-08,20.06373405456543,36.38241195678711,27.455434799194336,42.347312927246094,29.601591110229492,31.42646026611328,23.248374938964844,28.73020362854004,57.093048095703125,69.82894134521484,29.877113342285156,23.60858154296875,51.95861053466797,30.670190811157227,30.722135543823242,33.31069564819336,33.343177795410156,31.506317138671875,253.5740509033203
2017-12-11,20.108001708984375,36.45702362060547,27.474275588989258,42.709964752197266,29.59212303161621,31.407495498657227,23.27600860595703,28.721036911010742,57.28464126586914,69.98831939697266,30.019113540649414,23.823287963867188,51.71339797973633,30.642742156982422,30.767385482788086,33.31069564819336,33.57294464111328,31.614185333251953,254.4468231201172
2017-12-12,20.214256286621094,37.38966751098633,27.511964797973633,42.26362228393555,29.59212303161621,31.360082626342773,23.303640365600586,28.57440757751465,57.390010833740234,69.71643829345703,30.019113540649414,23.823287963867188,50.622650146484375,30.54209327697754,31.04791259765625,33.38718032836914,33.40751266479492,31.70407485961914,254.83575439453125
2017-12-13,20.515300750732422,36.12126541137695,27.58734130859375,43.18421173095703,29.582656860351562,31.369565963745117,23.58917999267578,28.308643341064453,57.61992263793945,70.84149169921875,30.038047790527344,23.957477569580078,52.15308380126953,30.514644622802734,30.90312385559082,33.52103805541992,33.692420959472656,31.883852005004883,254.77890014648438
2017-12-14,20.462175369262695,35.72956085205078,27.502544403076172,42.78435516357422,29.270261764526367,31.189390182495117,23.31285285949707,27.94207000732422,57.35169219970703,70.3821029663086,29.83924674987793,23.706989288330078,51.91633224487305,30.24930191040039,30.64069175720215,33.473228454589844,33.563751220703125,31.80295181274414,253.792236328125
2017-12-15,20.488739013671875,36.14924621582031,27.32352638244629,42.54258728027344,29.289196014404297,31.32215118408203,23.377328872680664,27.83209800720215,57.38043212890625,70.40084838867188,29.905515670776367,23.689096450805664,53.1931037902832,30.203548431396484,30.342071533203125,33.549720764160156,33.60970687866211,31.7490177154541,255.93617248535156
2017-12-18,20.63040542602539,36.57826614379883,27.502544403076172,42.75646209716797,29.65838623046875,31.8057804107666,23.561548233032227,28.2628231048584,58.07014846801758,70.77587890625,30.236852645874023,23.698040008544922,55.746639251708984,30.578691482543945,30.912172317504883,33.865234375,33.71080017089844,32.09958267211914,257.5299377441406
2017-12-19,20.593212127685547,36.49824142456055,27.472963333129883,42.663475036621094,29.64414405822754,31.80007553100586,23.47345542907715,28.24346923828125,57.48097229003906,70.32793426513672,30.284452438354492,23.56144142150879,56.25619888305664,30.718364715576172,30.929534912109375,33.693138122558594,33.36009216308594,32.045555114746094,256.5129089355469
2017-12-20,20.593212127685547,36.545318603515625,27.58746910095215,42.551883697509766,29.5491943359375,31.514875411987305,23.530290603637695,28.142108917236328,57.558109283447266,70.56927490234375,30.122604370117188,23.570608139038086,56.315948486328125,30.73698616027832,30.765018463134766,33.43498992919922,33.56806182861328,32.03639221191406,256.3795471191406
2017-12-21,20.738359451293945,37.21371078491211,27.816492080688477,43.35042190551758,29.6346492767334,31.53388786315918,23.662906646728516,28.24346923828125,57.596683502197266,69.45909118652344,30.084524154663086,23.63478660583496,57.067054748535156,30.839412689208984,30.99351692199707,33.645328521728516,33.492435455322266,32.24704360961914,256.89422607421875
2017-12-22,20.838151931762695,37.194889068603516,27.83557891845703,43.606483459472656,29.61566162109375,31.46734046936035,23.804996490478516,28.31718635559082,57.86668014526367,70.05762481689453,30.122604370117188,23.598114013671875,57.78401184082031,30.653181076049805,31.11233901977539,33.645328521728516,33.84219741821289,32.35694122314453,256.8274841308594
2017-12-26,20.838151931762695,37.64676284790039,27.921459197998047,43.606483459472656,29.64414405822754,31.46734046936035,23.786052703857422,28.372478485107422,57.89561080932617,69.79698181152344,30.132125854492188,23.570608139038086,58.56926345825195,30.662494659423828,31.039215087890625,33.607086181640625,33.426265716552734,32.347782135009766,256.5034484863281
2017-12-27,20.9470157623291,37.75973129272461,28.035968780517578,43.331451416015625,29.653642654418945,31.54339599609375,23.84288787841797,28.261899948120117,57.81846618652344,70.8395767211914,30.122604370117188,23.662288665771484,59.09844970703125,30.597314834594727,31.0574951171875,33.82699203491211,33.5586051940918,32.47600173950195,256.6654968261719
2017-12-28,21.037736892700195,37.99538040161133,28.264991760253906,43.69183349609375,29.691621780395508,31.514875411987305,23.956562042236328,28.271116256713867,57.6834716796875,72.20076751708984,30.19877052307129,23.753965377807617,58.953346252441406,30.560068130493164,31.0574951171875,33.97040557861328,34.00290298461914,32.61337661743164,257.14202880859375
2017-12-29,21.019590377807617,38.12733459472656,28.284076690673828,43.786678314208984,29.64414405822754,31.39128875732422,24.0797061920166,28.049957275390625,57.78954315185547,72.33592224121094,30.208288192749023,23.772302627563477,59.73859786987305,30.51351547241211,30.984376907348633,34.01821517944336,34.22977828979492,32.80570602416992,256.2460632324219
2018-01-02,21.155668258666992,39.286705017089844,28.541725158691406,45.30408477783203,29.71061134338379,31.619447708129883,24.354415893554688,28.225038528442383,58.136680603027344,73.2433853149414,30.360614776611328,24.239864349365234,59.695926666259766,30.848726272583008,31.222015380859375,34.152069091796875,34.787513732910156,33.10793685913086,258.15234375
2018-01-03,21.291746139526367,39.767417907714844,28.64669418334961,45.69291687011719,29.86253547668457,31.781063079833984,24.49650764465332,28.2342529296875,58.93703842163086,73.89018249511719,30.446298599243164,24.542404174804688,59.95198440551758,30.895282745361328,31.331693649291992,34.32416915893555,35.13727569580078,33.05298614501953,259.6487121582031
2018-01-04,21.373394012451172,40.03134536743164,28.847084045410156,45.84465789794922,30.337299346923828,32.303932189941406,24.5059814453125,29.05437660217285,59.660247802734375,73.35922241210938,30.76999282836914,24.78076934814453,59.721534729003906,31.621572494506836,31.825252532958984,34.534507751464844,35.12782669067383,33.18120574951172,260.77337646484375
2018-01-05,21.500402450561523,40.380096435546875,28.952054977416992,46.03433609008789,30.622156143188477,32.63667297363281,24.572290420532227,29.3492488861084,59.82418441772461,74.32460021972656,30.950881958007812,24.78076934814453,60.2251091003418,31.83573341369629,32.06289291381836,34.697044372558594,35.41141891479492,33.32774353027344,262.4223327636719
2018-01-08,21.382465362548828,40.21985626220703,28.85662841796875,46.195560455322266,30.51770782470703,32.541603088378906,24.562816619873047,29.293962478637695,60.17132568359375,74.40184020996094,30.86519432067871,24.78076934814453,59.4910774230957,31.630887985229492,31.93492889404297,34.639678955078125,35.316890716552734,33.291107177734375,263.0037536621094
2018-01-09,21.409683227539062,39.908809661865234,28.780290603637695,46.06278610229492,30.679128646850586,32.53209686279297,24.638599395751953,29.43218421936035,60.20989227294922,74.10257720947266,30.90328025817871,24.789936065673828,59.90077209472656,31.640195846557617,32.072025299072266,34.64923858642578,35.26962661743164,33.31858444213867,263.6041564941406
2018-01-10,21.228242874145508,39.88053512573242,28.4940128326416,46.110206604003906,30.50821304321289,32.24689483642578,24.572290420532227,29.570405960083008,60.59560775756836,73.7453842163086,30.760473251342773,24.744096755981445,59.10698699951172,31.76124382019043,32.19084548950195,34.49626541137695,34.92931365966797,33.28194808959961,263.184814453125
2018-01-11,21.35525131225586,40.62516403198242,28.637149810791016,46.43265151977539,30.717103958129883,32.39900588989258,24.714380264282227,30.003503799438477,61.00060272216797,74.4404525756836,30.90328025817871,24.954957962036133,58.646080017089844,32.17094421386719,32.53816223144531,34.601436614990234,35.14673614501953,33.49259567260742,265.0528869628906
2018-01-12,21.47318458557129,40.747703552246094,28.732574462890625,47.219810485839844,31.134897232055664,32.80778884887695,24.875415802001953,30.482675552368164,61.19346237182617,75.2031021118164,31.26505470275879,25.074142456054688,59.35450744628906,32.5620231628418,32.83064651489258,34.926509857177734,35.41141891479492,33.987152099609375,266.7875671386719
2018-01-16,21.282672882080078,40.606319427490234,28.847084045410156,47.22929000854492,31.220355987548828,32.85532760620117,24.894365310668945,30.556392669677734,61.19346237182617,74.82660675048828,31.379301071166992,25.11081314086914,59.87516784667969,32.785499572753906,32.656986236572266,34.936073303222656,35.47758865356445,33.94136047363281,265.824951171875
2018-01-17,21.400609970092773,41.341529846191406,28.913883209228516,48.101802825927734,31.32480812072754,32.940887451171875,25.15959930419922,30.78676414489746,61.68525314331055,75.17414093017578,31.6744327545166,25.229995727539062,60.86525344848633,32.73894119262695,32.8763427734375,34.96475601196289,35.902984619140625,34.10621643066406,268.474609375
2018-01-18,21.41875457763672,41.435787200927734,28.847084045410156,48.43373489379883,31.286823272705078,33.131019592285156,24.989089965820312,30.851266860961914,61.1645393371582,74.61421966552734,31.807720184326172,25.055805206298828,61.75292205810547,32.64582824707031,32.949462890625,35.04124450683594,36.1582145690918,34.10621643066406,268.0743408203125
2018-01-19,21.464113235473633,41.916507720947266,28.76120376586914,49.23985290527344,31.467233657836914,33.50178527832031,25.102764129638672,31.05399513244629,61.55025100708008,74.99072265625,32.07429122924805,25.3033390045166,61.3090934753418,32.7948112487793,33.06828308105469,35.16553497314453,36.71595001220703,34.152008056640625,269.24664306640625
2018-01-22,21.491331100463867,42.067317962646484,28.875715255737305,49.514888763427734,31.657135009765625,33.710933685302734,25.320636749267578,31.3488712310791,61.810604095458984,74.17980194091797,32.24565887451172,25.37668228149414,62.725955963134766,33.269691467285156,33.29677963256836,35.20378112792969,37.169700622558594,34.4450798034668,271.38165283203125
2018-01-23,21.53668785095215,41.15301513671875,28.94251251220703,50.29255676269531,31.67612648010254,33.89155960083008,25.36800193786621,31.321229934692383,62.186676025390625,74.45011138916016,32.217098236083984,25.4866943359375,63.20393371582031,33.29762268066406,33.36989974975586,35.35675811767578,37.02790451049805,34.481712341308594,272.0107116699219
2018-01-24,21.6636962890625,43.68854904174805,29.028396606445312,50.59603500366211,31.704612731933594,33.805999755859375,25.339582443237305,31.25672149658203,62.205963134765625,75.2031021118164,32.18853759765625,25.8442440032959,63.95504379272461,33.465232849121094,33.433876037597656,35.64358901977539,36.86720275878906,34.63740158081055,271.8677062988281
2018-01-25,21.600189208984375,44.15983963012695,28.81846046447754,49.922691345214844,31.6666316986084,33.56833267211914,25.339582443237305,31.404157638549805,61.90703201293945,75.59890747070312,32.14093017578125,25.642549514770508,64.22816467285156,33.60490417480469,33.10483932495117,35.72007751464844,36.971187591552734,34.408443450927734,271.9725646972656
2018-01-26,21.87234878540039,44.612281799316406,28.932968139648438,51.212486267089844,32.02745056152344,33.7869873046875,25.481674194335938,31.735891342163086,62.36024475097656,76.30364227294922,32.40750503540039,25.715892791748047,64.85124969482422,33.74457550048828,33.36989974975586,36.08340072631836,37.02790451049805,34.69235610961914,275.12738037109375
2018-01-29,21.71812629699707,43.726253509521484,28.66577911376953,50.121849060058594,31.75208854675293,33.4732666015625,25.11223602294922,31.422588348388672,61.829891204833984,75.90782165527344,32.131412506103516,25.615047454833984,62.23944854736328,33.34418487548828,33.1596794128418,35.700958251953125,36.71595001220703,34.326019287109375,273.3069763183594
2018-01-30,21.545761108398438,43.65085220336914,28.48447036743164,49.29676055908203,31.543197631835938,33.20707702636719,25.055400848388672,30.998706817626953,61.03917694091797,74.97142028808594,31.883886337280273,25.35834503173828,61.0957145690918,32.99966049194336,32.912899017333984,35.634029388427734,36.25274658203125,34.161163330078125,270.3522644042969
2018-01-31,21.56390380859375,43.914772033691406,28.51309585571289,49.951141357421875,31.647642135620117,33.28312683105469,25.197490692138672,31.127716064453125,60.69203186035156,75.53132629394531,31.960041046142578,25.229995727539062,61.57368850708008,33.157955169677734,32.92204666137695,35.538414001464844,36.52688980102539,34.0329475402832,270.8288269042969
2018-02-01,21.6636962890625,44.03730773925781,28.417673110961914,49.23037338256836,31.80906105041504,32.98842239379883,24.979618072509766,31.487092971801758,60.990962982177734,74.47907257080078,32.10285186767578,25.29416847229004,60.86525344848633,33.316246032714844,33.223655700683594,35.634029388427734,36.43235778808594,34.0329475402832,270.4856872558594
2018-02-02,21.337106704711914,42.472625732421875,27.635183334350586,48.43373489379883,30.926002502441406,32.18985366821289,24.591232299804688,30.59325408935547,60.094181060791016,71.47673797607422,31.407861709594727,24.753265380859375,58.70582580566406,32.366485595703125,32.401065826416016,34.94563293457031,35.695011138916016,33.21784210205078,264.5191650390625
2018-02-05,20.62042808532715,40.964500427246094,26.862239837646484,47.3051643371582,29.587175369262695,30.86841583251953,23.814470291137695,29.22024154663086,57.249542236328125,69.36255645751953,30.170207977294922,24.05650520324707,55.709930419921875,31.06288719177246,30.78329849243164,33.78874588012695,34.749698638916016,31.6334228515625,253.5773468017578
2018-02-06,20.820009231567383,42.52918243408203,26.976749420166016,48.14921951293945,30.42275619506836,31.838106155395508,24.146015167236328,30.298377990722656,58.63811492919922,72.07527160644531,30.74143409729004,24.221529006958008,58.953346252441406,31.798490524291992,31.560190200805664,33.8365478515625,35.10892105102539,32.329463958740234,258.5430603027344
2018-02-07,20.38455581665039,41.218994140625,26.77635383605957,45.5791130065918,29.891021728515625,31.29621696472168,23.577653884887695,29.892925262451172,58.11739730834961,68.72540283203125,30.217809677124023,23.900653839111328,57.459678649902344,31.183937072753906,31.249435424804688,33.7504997253418,34.494468688964844,31.999757766723633,256.9513854980469
2018-02-08,19.81302833557129,39.8616828918457,26.16563606262207,43.67286682128906,29.11241340637207,30.27899742126465,23.227161407470703,29.01751708984375,56.391326904296875,66.54364013671875,29.56089973449707,23.43309211730957,55.010040283203125,30.280729293823242,30.335439682006836,33.04298400878906,33.2750129699707,31.404460906982422,247.44879150390625
2018-02-09,20.067041397094727,40.68172836303711,26.213346481323242,43.739253997802734,29.140897750854492,30.49765396118164,23.056652069091797,29.211029052734375,56.96025848388672,68.12686920166016,29.665624618530273,23.717296600341797,56.59760665893555,30.420398712158203,30.527381896972656,33.11947250366211,33.95563507080078,31.395299911499023,251.30894470214844
2018-02-12,20.38455581665039,41.26612091064453,26.537792205810547,44.27983093261719,29.606164932250977,30.93496322631836,23.24610710144043,29.44139862060547,58.06918716430664,69.02467346191406,30.008359909057617,23.845645904541016,58.29613494873047,30.895282745361328,30.911256790161133,33.53059387207031,34.314857482910156,31.75248146057129,254.6543731689453
2018-02-13,20.502492904663086,41.482913970947266,26.55687713623047,44.27983093261719,29.558687210083008,30.87792205810547,23.39767074584961,29.238670349121094,57.355613708496094,69.27567291259766,29.93219757080078,24.038169860839844,59.3630485534668,30.662494659423828,30.902118682861328,33.39674377441406,34.475563049316406,31.80743408203125,255.39781188964844
2018-02-14,20.865367889404297,42.59516143798828,26.929035186767578,45.626529693603516,30.175880432128906,31.562408447265625,23.83341407775879,30.031147003173828,58.223472595214844,71.32227325439453,30.446298599243164,24.285701751708984,61.63343048095703,31.10013771057129,31.6424503326416,34.14250183105469,35.03329849243164,32.347782135009766,258.91485595703125
2018-02-15,21.019590377807617,42.89678192138672,27.100799560546875,46.812007904052734,30.470232009887695,31.5814208984375,24.108123779296875,30.11408233642578,58.503108978271484,72.91514587402344,30.760473251342773,24.762432098388672,64.08306884765625,31.211870193481445,31.880090713500977,34.43889617919922,35.666656494140625,32.65001678466797,262.1268005371094
2018-02-16,20.847225189208984,42.92506408691406,26.976749420166016,46.82149124145508,30.527204513549805,31.638460159301758,24.0797061920166,30.24308967590332,59.39989471435547,73.11788177490234,30.74143409729004,24.71659278869629,63.374637603759766,31.23048973083496,31.89837074279785,34.37196731567383,35.7233772277832,32.622535705566406,262.19354248046875
2018-02-20,20.79279136657715,43.236114501953125,26.8336124420166,45.87310791015625,30.270830154418945,31.334245681762695,23.975505828857422,29.72705841064453,58.91775131225586,70.4148178100586,30.61766815185547,24.51490020751953,61.531005859375,31.11875343322754,31.54191017150879,33.92259979248047,35.17509078979492,32.274513244628906,260.5923156738281
2018-02-21,20.738359451293945,43.21725845336914,26.871782302856445,46.54646301269531,30.175880432128906,31.115589141845703,24.0323429107666,29.47825813293457,58.32954406738281,70.23139953613281,30.531982421875,24.72576141357422,61.71025466918945,30.6904296875,31.51449203491211,33.769622802734375,35.05220413208008,32.18292999267578,259.2483825683594
2018-02-22,20.901657104492188,43.60372543334961,26.81452751159668,46.26194381713867,30.37527847290039,31.267698287963867,23.975505828857422,29.413753509521484,58.59954071044922,70.21208953857422,30.551025390625,24.65241813659668,61.75292205810547,31.044267654418945,31.578472137451172,33.90347671508789,34.948219299316406,32.24704360961914,259.60101318359375
2018-02-23,21.06494903564453,44.0561637878418,27.158058166503906,47.134456634521484,30.565183639526367,31.495861053466797,24.269163131713867,29.892925262451172,59.45774841308594,71.70842742919922,30.836637496948242,25.074142456054688,64.2623062133789,31.174623489379883,31.69729232788086,34.056453704833984,35.60993576049805,32.52179718017578,263.74713134765625
